full_name,age,birthday_GMT,league,position,Current Club,nationality,gender
DeAndre Yedlin,29,7/9/1993,Premier League,Defender,Newcastle United,USA,MALE
Declan Rice,23,1/14/1999,Premier League,Midfielder,West Ham United,Republic of Ireland,MALE
Dejan Lovren,33,7/5/1989,Premier League,Defender,Liverpool,Croatia,MALE
Dele Alli,26,4/11/1996,Premier League,Midfielder,Tottenham Hotspur,England,MALE
Demarai Gray,26,6/28/1996,Premier League,Midfielder,Leicester City,England,MALE
Demeaco Duhaney,24,10/13/1998,Premier League,Defender,Huddersfield Town,England,MALE
Denis Odoi,34,5/27/1988,Premier League,Defender,Fulham,Belgium,MALE
Denis Suárez,28,1/6/1994,Premier League,Midfielder,Arsenal,Spain,MALE
Diego Rico,29,2/23/1993,Premier League,Defender,AFC Bournemouth,Spain,MALE
Diogo Dalot,23,3/18/1999,Premier League,Defender,Manchester United,Portugal,MALE
Diogo José Teixeira da Silva,25,12/4/1996,Premier League,Midfielder,Wolverhampton Wanderers,Portugal,MALE
Divock Origi,27,4/18/1995,Premier League,Forward,Liverpool,Belgium,MALE
Domingos Quina,22,11/18/1999,Premier League,Midfielder,Watford,Portugal,MALE
Dominic Calvert-Lewin,25,3/16/1997,Premier League,Forward,Everton,England,MALE
Dominic Solanke,25,9/14/1997,Premier League,Forward,AFC Bournemouth,England,MALE
Dwight McNeil,22,11/22/1999,Premier League,Forward,Burnley,England,MALE
Eden Hazard,31,1/7/1991,Premier League,Midfielder,Chelsea,Belgium,MALE
Ederson,29,8/17/1993,Premier League,Goalkeeper,Manchester City,Brazil,MALE
Edward Nketiah,23,5/30/1999,Premier League,Forward,Arsenal,England,MALE
Elias Kachunga,30,4/22/1992,Premier League,Forward,Huddersfield Town,Congo DR,MALE
Emerson Hyndman,26,4/9/1996,Premier League,Midfielder,AFC Bournemouth,USA,MALE
Emerson Palmieri,28,8/3/1994,Premier League,Defender,Chelsea,Italy,MALE
Emile Smith Rowe,22,7/28/2000,Premier League,Midfielder,Arsenal,England,MALE
Emiliano Martínez,30,9/2/1992,Premier League,Goalkeeper,Arsenal,Argentina,MALE
Eric Bailly,28,4/12/1994,Premier League,Defender,Manchester United,Ivory Coast,MALE
Eric Dier,28,1/15/1994,Premier League,Midfielder,Tottenham Hotspur,England,MALE
